head,relation,tail,verdict_qwen,verdict_gpt
udp,provides,data transport,yes,yes
http,provides,data service,yes,yes
udp,provides,message service,yes,yes
udp,provides,packet flow,no,yes
packet,contains,port number,yes,yes
ip address,identifies,source address,no,yes
socket,sends,packet to destination address,yes,no
socket,sends,packet to its destination,yes,no
socket,sends,packet to client,yes,yes
socket,sends,packet to host,yes,no
socket,sends,packet to server,yes,no
port number,identifies,application port,yes,yes
socket,sends,source address,no,yes
client,communicates_with,host,no,yes
client,communicates_with,application,no,yes
client,communicates_with,device,yes,yes
client,implements,protocol,yes,yes
client,has_part,port,no,yes
client,receives,message,yes,yes
client,requires,port,yes,yes
client,receives,response,yes,yes
client,sends,a message,yes,yes
client,sends,the request,yes,yes
client,sends,the http request,yes,yes
server,communicates_with,client program,yes,yes
client,requires,server,no,yes
server,communicates_with,client application,yes,yes
server,communicates_with,client web,yes,yes
server,implements,http protocol,yes,yes
server,receives,the request,yes,yes
server,implements,message queue,,yes
server,implements,ud protocol,yes,no
server,receives,the message,,yes
server,provides,message,no,yes
server,receives,the client,yes,no
server,receives,the file,yes,yes
socket,connects_to,server,yes,yes
client,communicates_with,servers,yes,yes
client,communicates_with,server application,yes,yes
client,receives,reply,yes,yes
client,receives,server response,yes,yes
client,connects_to,application,no,yes
client,connects_to,transport,yes,no
client,implements,connection process,yes,yes
client,requires,server program,yes,yes
client,receives,server message,yes,yes
client,sends,request,yes,yes
client,sends,message,yes,yes
client,requires,port number,,yes
client,requires,server process,yes,yes
client,requires,message response,yes,yes
client,sends,message to server,yes,yes
client,sends,a request to server,,yes
server,communicates_with,client device,yes,yes
server,has_part,message queue,yes,yes
server,provides,response,yes,yes
server,communicates_with,client request,yes,no
server,provides,service,yes,yes
server,implements,application layer,yes,yes
server,implements,message transfer,yes,yes
server,is_a,program,yes,yes
server,is_a,application,yes,yes
server,sends,response,yes,yes
server,receives,http request,yes,yes
server,sends,http response,yes,yes
server,provides,http protocol,yes,yes
server,provides,client address,no,yes
hostname,identifies,client host,yes,yes
hostname,identifies,server address,yes,yes
server,sends,client message,yes,no
ip address,identifies,application server,yes,yes
client socket,requires,server,yes,yes
client socket,requires,host,,yes
client socket,requires,message,yes,no
client socket,requires,process,,yes
udpclient,runs_on,client,,yes
udpclient,runs_on,socket,yes,yes
socket,sends,its message,,yes
server socket,requires,connection,no,yes
udpclient,runs_on,application,,yes
server socket,is_a,socket,yes,yes
server socket,requires,host side,no,yes
ip address,identifies,server host,yes,yes
client socket,requires,server socket,,yes
client socket,requires,connection,yes,yes
port number,identifies,server socket,yes,yes
client socket,requires,ip port number,,yes
port number,identifies,http,yes,yes
client socket,requires,destination side,no,yes
port number,identifies,client socket,,yes
port number,identifies,application,yes,yes
welcoming socket,is_a,application socket,,yes
welcoming socket,is_a,server socket,yes,yes
welcoming socket,is_a,tc socket,yes,no
welcoming socket,is_a,protocol socket,yes,no
welcoming socket,is_a,port socket,yes,no
tcp,provides,service,yes,yes
tcp,provides,data flow,,yes
udp,provides,data service,yes,yes
udp,provides,message flow,,yes
http,enables,application request,yes,yes
p2p architecture,enables,file protocol,yes,yes
http,enables,client server,no,yes
p2p architecture,enables,internet applications,yes,yes
smtp,provides,email messages,yes,yes
smtp,provides,mail messages,yes,yes
http,supports,message service,yes,no
http,enables,browser message,yes,yes
dns,operates_at,application,yes,yes
http,supports,application,no,yes
http,supports,service,no,yes
web server,implements,request response,yes,yes
web server,provides,web response,yes,yes
web server,implements,application protocol,yes,yes
telnet,runs_on,server,no,yes
imap,provides,client data,,yes
imap,provides,user notification,no,yes
web server,provides,application protocol,no,yes
mail server,receives,mail messages,yes,yes
tcp,provides,data transport,yes,yes
tcp segment,contains,http request,yes,yes
web server,provides,message reply,no,yes
tcp segment,contains,header data,yes,yes
tcp segment,contains,http response,yes,yes
http request,contains,request header,yes,yes
persistent connection,supports,http messages,yes,yes
persistent connection,supports,client request,yes,yes
persistent connection,supports,response messages,yes,yes
persistent connection,supports,request messages,yes,yes
persistent connection,supports,server response,,yes
tcp segment,part_of,client connection,yes,yes
http client,communicates_with,application server,yes,yes
ip address,identifies,receiver,yes,yes
persistent connection,supports,response,,yes
persistent connection,supports,http protocol,yes,yes
persistent connection,supports,request,yes,yes
persistent connection,supports,message,yes,yes
persistent connection,supports,message buffer,yes,yes
parallel connections,enables,multiple packet transfer,yes,yes
parallel connections,enables,multiple bandwidth,yes,yes
parallel connections,enables,multiple bits transfer,yes,yes
parallel connections,enables,multiple data transfer,yes,yes
parallel connections,enables,multiple link bandwidth,yes,yes
nslookup,communicates_with,host,yes,yes
nslookup,sends,query to the servers,yes,yes
nslookup,communicates_with,server,yes,yes
nslookup,enables,ip address,no,yes
nslookup,enables,host information,no,yes
dig,communicates_with,server,yes,yes
dig,communicates_with,cache system,,yes
root dns server,provides,distribution,yes,no
root dns server,provides,domain record,no,yes
local dns server,receives,site name,yes,yes
local dns server,receives,web client,no,yes
local dns server,receives,host name,yes,yes
local dns server,sends,query of server,yes,no
local dns server,sends,address of server,yes,yes
local dns server,receives,internet name,yes,yes
local dns server,sends,name of server,,yes
p2p architecture,enables,distribution algorithm,yes,yes
p2p architecture,enables,maximum distribution,yes,yes
tcpclient,runs_on,socket,yes,no
tcpclient,runs_on,client,no,yes
tcpclient,runs_on,transport,yes,yes
tcpserver,runs_on,server,,yes
tcpserver,runs_on,hosts,yes,yes
udpclient,runs_on,client socket,no,yes
udpclient,runs_on,transport,yes,yes
web server,provides,cache service,no,yes
web server,sends,http page,yes,yes
web server,sends,the web page,yes,yes
web server,sends,a web page,yes,yes
web server,implements,server header,no,yes
http request,contains,http header,yes,yes
web server,provides,browser response,yes,yes
web server,implements,http server,yes,no
http request,contains,client request line,yes,yes
http request,contains,cookie,yes,yes
mail server,receives,connection request,yes,yes
web proxy,receives,browser request,yes,yes
web server,sends,the file,yes,yes
mail server,has_part,mail message,no,yes
origin server,receives,http requests,yes,yes
web proxy,sends,page,yes,yes
web proxy,sends,message,yes,yes
web proxy,sends,file,yes,yes
browser,receives,web response,yes,yes
origin server,sends,mail message to client,yes,yes
browser,sends,request,yes,yes
origin server,sends,mail message,,yes
browser,communicates_with,mail server,,yes
dns,has_part,local server,yes,yes
local dns server,communicates_with,application,yes,yes
browser,sends,file,yes,yes
local dns server,receives,network message,yes,yes
local dns server,sends,message to client,,yes
transport layer,provides,communication service,yes,yes
transport layer,provides,data transfer,yes,yes
transport layer,provides,error control,yes,yes
transport layer,provides,congestion control,yes,yes
local dns server,sends,ip to client,yes,yes
transport layer,provides,packet management,no,yes
transport layer,implements,congestion checks,yes,yes
transport layer,implements,data transfer,yes,yes
transport layer,implements,multiple protocols,,yes
transport layer,receives,data,yes,yes
tcp,is_a,network protocol,yes,yes
tcp,is_a,transport protocol,yes,yes
tcp,has_part,congestion control,yes,yes
tcp,has_part,connection control,yes,yes
tcp,is_a,internet protocol,yes,no
tcp,is_a,transport layer,yes,yes
tcp,operates_at,transport,yes,yes
tcp,receives,application data,yes,yes
tcp,runs_on,network layer,yes,yes
tcp,receives,segments,,yes
tcp,requires,congestion control,yes,yes
tcp,receives,data,yes,yes
tcp,requires,segment header,yes,yes
tcp,runs_on,protocol,no,yes
tcp,supports,congestion control,yes,yes
tcp,requires,data transfer,yes,no
tcp,sends,segment in transport layer,yes,yes
tcp,supports,connection service,yes,yes
tcp,supports,transport layer,no,yes
udp,operates_at,transport,yes,yes
tcp,supports,control plane,no,yes
udp,operates_at,layer,no,yes
udp,implements,header,no,yes
udp,implements,message,no,yes
udp,requires,network layer,yes,yes
udp,supports,application layer,yes,yes
udp,supports,data transfer,yes,yes
udp,supports,transport layer,no,yes
udp,requires,segment checks,yes,no
udp,implements,error checking,yes,yes
udp,implements,header check,yes,yes
udp,implements,protocol checks,yes,no
udp,provides,network service,yes,yes
udp,requires,header checks,yes,yes
tcp,is_a,transport layer protocol,yes,yes
udp,supports,network service,,yes
tcp,has_part,rate control,yes,yes
udp,supports,control plane,,yes
tcp,has_part,window,,yes
tcp,has_part,error detection,,yes
tcp,requires,window calculation,yes,yes
tcp,requires,network protocol,yes,yes
tcp,requires,error checks,yes,yes
tcp,operates_at,transport protocol,no,yes
tcp,runs_on,network protocol,yes,yes
tcp,receives,segment,yes,yes
tcp,receives,connection,no,yes
congestion control,requires,rate calculation,yes,yes
tcp,supports,data segment,no,yes
congestion control,requires,window,yes,yes
transport layer,implements,congestion control,yes,yes
tcp,supports,traffic control,yes,yes
transport layer,implements,transport protocols,,yes
congestion control,supports,transport protocol,no,yes
congestion control,supports,data transmission,,yes
congestion control,supports,congestion avoidance,yes,yes
transport layer,provides,communication,yes,yes
transport layer,receives,information,yes,yes
transport layer,implements,transport protocol,,yes
transport layer,implements,message communication,,yes
datagram,contains,network layer field,yes,yes
datagram,contains,transport layer segment,yes,yes
datagram,contains,header,yes,yes
network layer,enables,packet header,yes,yes
network layer,enables,congestion avoidance,yes,yes
datagram,contains,data,yes,yes
network layer,enables,explicit congestion avoidance,yes,yes
tcp,implements,reliable data transfer,yes,yes
network layer,enables,destination address,yes,yes
network layer,sends,data,yes,yes
tcp,requires,connection control,yes,no
tcp,requires,layer service,yes,yes
tcp,runs_on,host,yes,yes
tcp,supports,data transfer,yes,yes
tcp,requires,protocol checks,yes,yes
tcp,supports,connection,yes,yes
tcp,supports,segment,yes,yes
tcp,runs_on,server,no,yes
transport layer,provides,transport service,yes,yes
udp,requires,network protocol,yes,yes
transport layer,implements,communication,yes,yes
transport layer,provides,application layer,yes,yes
udp,requires,ip segment,yes,yes
network layer,enables,routing,yes,yes
transport layer,receives,application layer,yes,no
network layer,enables,transport layer,yes,yes
transport protocol,runs_on,network layer,yes,yes
transport protocol,operates_at,protocol layer,yes,yes
transport protocol,provides,delivery,,yes
transport protocol,runs_on,system,yes,yes
transport protocol,provides,message transfer,yes,yes
network layer,enables,packet control,yes,yes
transport protocol,provides,network service,no,yes
transport protocol,provides,communication service,yes,yes
transport protocol,provides,reliable data transfer,yes,yes
transport protocol,provides,congestion control service,yes,yes
transport protocol,provides,error control,yes,yes
transport protocol,provides,reliable service,yes,yes
transport protocol,provides,application service,yes,no
transport protocol,provides,packet communication,no,yes
transport protocol,runs_on,ip layer,yes,yes
transport protocol,provides,packet transfer,yes,yes
network layer,sends,network layer data,,yes
udp,requires,data service,,yes
tcp,is_a,connection protocol,yes,yes
udp,supports,data packet,yes,yes
udp,supports,segment,yes,no
tcp,operates_at,layer,yes,yes
tcp,operates_at,transport layer protocol,,yes
tcp,receives,packet,yes,yes
tcp,requires,connection,yes,yes
tcp,supports,data protocol,no,yes
tcp,requires,segment,yes,yes
tcp,implements,error check,yes,yes
datagram,contains,transport layer header,,yes
tcp,requires,ip protocol,yes,yes
datagram,contains,service information,yes,yes
datagram,contains,ip header,yes,yes
datagram,contains,application data,yes,yes
tcp,runs_on,ip protocol,yes,yes
udp,requires,ip protocol,yes,yes
tcp,supports,connection control,yes,yes
udp,requires,segment header,yes,no
datagram,contains,address,yes,yes
datagram,contains,protocol field,yes,yes
udp,supports,packet service,,yes
ip,operates_at,internet layer,yes,yes
ip,provides,address,yes,yes
ip,operates_at,internet,yes,yes
ip,provides,data transfer,yes,yes
ip,provides,network service,yes,yes
ip,provides,network layer service,yes,yes
ip,provides,service,yes,yes
ip,provides,packet transfer,yes,yes
ip,runs_on,network,yes,no
ip address,identifies,network address,no,yes
udp,implements,data checks,yes,yes
udp,requires,checks field,yes,no
udp,supports,data service,yes,yes
udp,requires,control information,no,yes
udp,supports,segment checks,yes,no
udp,supports,header field,no,yes
tcp,implements,segment checks,yes,yes
tcp,requires,field checks,yes,yes
tcp,operates_at,connection layer,yes,no
tcp,runs_on,ip layer,yes,yes
tcp,sends,the segment,yes,yes
tcp,operates_at,data transport,,yes
tcp,sends,control segment,yes,yes
tcp,operates_at,process layer,yes,no
tcp,supports,header checks,yes,yes
ip,provides,address management,yes,no
ip,provides,error checks,no,yes
udp,implements,header checks,yes,yes
udp,supports,error checks,yes,yes
udp,supports,protocol header,,yes
udp,supports,service layer,no,yes
tcp,provides,transport layer service,yes,yes
tcp,requires,window field,yes,yes
tcp,has_part,error correction,,yes
tcp,supports,error checks,yes,yes
tcp,supports,application service,yes,yes
tcp,supports,segment header,yes,yes
tcp,is_a,protocol,yes,yes
tcp,implements,window checks,,yes
tcp,receives,ip data,yes,yes
tcp,is_a,connection service,yes,yes
tcp,runs_on,network,,yes
tcp,is_a,data transport,yes,yes
tcp,supports,data transport,yes,yes
ip,provides,data transport,yes,yes
tcp,supports,segment checks,yes,yes
congestion control,supports,network service,,yes
congestion control,supports,transport service,yes,yes
congestion control,supports,data transfer,yes,yes
congestion control,requires,traffic flow,yes,yes
congestion control,requires,network layer,yes,yes
congestion control,requires,data transfer,,yes
congestion control,requires,congestion avoidance,,yes
network layer,enables,congestion control,yes,no
transport layer,implements,header checks,yes,yes
congestion control,supports,reliable data transfer,,yes
congestion control,supports,window checks,yes,yes
congestion control,supports,transport layer,,yes
network layer,enables,application protocol,yes,yes
network layer,enables,data messages,yes,yes
congestion control,requires,traffic rate,yes,yes
congestion control,requires,window calculation,yes,yes
transport layer,provides,flow control,yes,yes
congestion control,requires,network flow,yes,yes
transport layer,receives,header,,yes
transport layer,receives,data segment,,yes
telnet,runs_on,host,yes,yes
telnet,runs_on,network,yes,no
http,runs_on,a process,yes,yes
transport layer,provides,segment service,yes,yes
transport layer,sends,segment to application,yes,no
source port number field,part_of,header of segment,yes,yes
transport layer,provides,error checks,yes,yes
source port number field,part_of,port number field of header,,yes
destination port number field,part_of,segment header,yes,yes
udp,implements,error check,yes,yes
udp,provides,port service,,yes
udp,requires,port value,yes,yes
udp,provides,header field,no,yes
udp,provides,data segment,,yes
http,operates_at,application,yes,yes
ftp,requires,port number,yes,yes
udp,requires,port number field,yes,yes
udp,supports,header fields,no,yes
udp,supports,port number,yes,yes
http,runs_on,transport,yes,yes
transport layer,receives,message,yes,yes
transport layer,sends,data,yes,yes
transport layer,sends,network data,no,yes
udp,requires,socket,yes,yes
udp,requires,layer,no,yes
tcp,provides,window control,yes,yes
udp,requires,header,yes,yes
tcp,has_part,data,yes,yes
tcp,requires,segment checks,yes,yes
port number,enables,socket output,no,yes
port number,enables,server request,yes,yes
port number,enables,socket input,yes,yes
udp,provides,application data,no,yes
udp,supports,header,no,yes
udp,supports,port,yes,yes
udp,supports,data segment,,yes
udp,requires,port number,yes,yes
udp,requires,server port,,yes
network layer,enables,ip segment,yes,yes
network layer,enables,packet,yes,yes
tcp connection establishment,increases,connection delay,no,yes
tcp connection establishment,increases,server buffer,yes,yes
tcp segment,contains,client request,yes,yes
tcp connection establishment,increases,error control,yes,no
tcp segment,contains,header field,,yes
tcp segment,provides,port address,,yes
tcp segment,provides,flow control,yes,no
tcp,is_a,transport,yes,yes
tcp segment,provides,error checks,yes,yes
tcp,has_part,destination port,yes,yes
tcp,has_part,segment,,yes
tcp,receives,source address,no,yes
tcp,requires,port number,yes,yes
tcp,provides,port service,yes,no
tcp,requires,ip address,,yes
tcp,supports,congestion checks,yes,yes
tcp,supports,port address,yes,yes
tcp,supports,ip address,yes,yes
socket,receives,connection request segment,yes,yes
socket,receives,data,yes,yes
socket,receives,source ip address,,yes
transport layer,implements,packet transfer,,yes
transport layer,provides,control,yes,no
transport layer,receives,connection segment,no,yes
transport layer,receives,destination port,yes,no
ip address,identifies,host b,yes,yes
ip address,identifies,server b,yes,yes
udp,requires,data,,yes
udp,supports,data,,yes
udp,supports,application,yes,yes
udp,supports,control message,no,yes
udp,supports,service,yes,yes
udp,requires,network layer service,yes,yes
udp,provides,packet header,no,yes
udp,implements,count checks,yes,no
udp,provides,application layer service,yes,no
udp,requires,ip,,yes
udp,supports,application service,yes,yes
ip,operates_at,layer,yes,yes
udp,supports,control checks,yes,no
udp,supports,data field,no,yes
ip,provides,address service,yes,yes
ip,provides,protocol service,yes,yes
ip,provides,packet header,no,yes
dns,runs_on,the ud,yes,no
dns,runs_on,"ud ,",yes,no
udp,provides,data field,,yes
dns,runs_on,ud,yes,no
udp,provides,header,no,yes
udp,supports,data and header,yes,no
udp,supports,ip address,yes,yes
udp,requires,segment data,yes,no
udp,requires,header field,,yes
udp,requires,host side,,yes
udp segment,contains,header,yes,yes
network layer,enables,header,,yes
network layer,sends,the data,yes,no
udp segment,contains,message,yes,yes
udp segment,has_part,header,yes,yes
udp segment,has_part,destination port,yes,yes
udp segment,contains,field,yes,yes
udp segment,contains,destination port,yes,yes
name server,receives,query,yes,yes
name server,receives,message,yes,yes
name server,receives,client request,yes,yes
name server,receives,request,yes,yes
name server,receives,host query,yes,yes
dns,runs_on,application host,yes,yes
dns,runs_on,host server,yes,yes
udp,provides,data transfer service,yes,yes
tcp,is_a,network transport,yes,yes
udp,requires,application control,yes,yes
tcp,provides,error checks,yes,yes
udp,supports,application control,,yes
udp,supports,protocol checks,yes,no
udp segment,contains,data,yes,yes
network layer,enables,data transfer,yes,yes
udp segment,contains,application data,yes,yes
tcp,sends,application data,yes,yes
tcp,supports,service protocol,no,yes
tcp,sends,data segment,yes,yes
tcp,sends,connection data,yes,yes
tcp,implements,rate avoidance,yes,no
tcp,is_a,transport - layer,yes,yes
tcp,receives,control segment,yes,yes
tcp,has_part,window rate,yes,no
tcp,requires,segment transfer,yes,yes
tcp,requires,data service,,yes
tcp,requires,connection checks,yes,yes
tcp,runs_on,a network,no,yes
udp,implements,data transfer,yes,yes
udp,implements,message checks,yes,yes
tcp,supports,segment transfer,yes,yes
udp,requires,application data,no,yes
udp,supports,segment check,yes,no
udp,supports,service protocol,no,yes
tcp,requires,data,yes,yes
tcp,sends,segment of the protocol,yes,yes
tcp,supports,packet header,no,yes
udp,implements,data message,no,yes
dns,runs_on,ud p,yes,yes
dns,runs_on,tc p,yes,yes
udp,supports,control header,yes,no
tcp,implements,receiver window,yes,yes
udp,requires,header and data,,yes
udp,supports,http,no,yes
tcp,implements,data transfer protocol,,yes
tcp,requires,header field,,yes
tcp,supports,application layer,yes,yes
tcp,supports,segment data,yes,yes
tcp,is_a,transport service,yes,yes
udp,requires,header segment,yes,no
tcp,supports,http,yes,yes
tcp,sends,data,,yes
tcp,sends,data transfer,no,yes
http,runs_on,ud,yes,no
udp,requires,ip header,,yes
udp,provides,traffic flow,no,yes
udp,provides,protocol service,yes,yes
udp,implements,message checking,no,yes
dns,runs_on,tc,yes,no
udp,supports,control service,,yes
tcp,implements,bandwidth control,yes,yes
tcp,provides,bandwidth control,,yes
tcp,receives,control data,no,yes
tcp,receives,network traffic,no,yes
tcp,sends,control,no,yes
tcp,sends,a segment,yes,yes
tcp,supports,network service,yes,yes
internet phone,runs_on,ip network transport,yes,yes
internet phone,runs_on,ud transport protocol,yes,yes
internet phone,runs_on,ud,yes,no
internet phone,runs_on,ud transport,yes,yes
internet phone,runs_on,ud and tc,yes,no
internet phone,runs_on,ud and tc transport,yes,yes
udp,operates_at,data transport,yes,no
tcp,provides,rate control,yes,yes
tcp,implements,bandwidth avoidance,yes,no
tcp,provides,window checks,yes,yes
tcp,requires,error avoidance,no,yes
tcp,supports,reliable data transfer,yes,yes
tcp,supports,error avoidance,yes,yes
tcp,supports,bandwidth control,yes,yes
congestion control,requires,packet loss checks,yes,yes
tcp,implements,rate control,yes,yes
congestion control,supports,rate control,yes,yes
tcp,supports,window control,yes,yes
congestion control,supports,traffic control,yes,yes
congestion control,supports,flow control,,yes
tcp,receives,data packet,yes,yes
tcp,supports,packet transmission,no,yes
congestion control,requires,loss checks,,yes
checksum calculation,requires,check algorithm,yes,yes
congestion control,requires,rate control,no,yes
congestion control,requires,buffer,yes,yes
checksum calculation,requires,data bytes,yes,yes
udp checksum,provides,error checks,yes,yes
udp checksum,provides,error avoidance,yes,no
ethernet,implements,data transfer,yes,yes
ethernet,provides,checks,yes,no
transport layer,implements,error checks,yes,yes
transport layer,implements,error correction,yes,yes
transport layer,implements,congestion avoidance,yes,yes
transport layer,provides,reliable service,yes,yes
transport layer,implements,packet checks,yes,yes
ip,provides,packet error checks,,yes
transport layer,provides,reliable transfer,yes,yes
transport layer,sends,application data,,yes
udp,supports,error check,yes,yes
transport layer,implements,data correction,yes,yes
udp,provides,transport layer,yes,yes
transport layer,provides,congestion avoidance,yes,yes
tcp,provides,transport layer,no,yes
tcp,is_a,network service,yes,no
tcp,sends,reliable data,yes,yes
transport layer,implements,communication protocol,no,yes
transport layer,provides,reliable data transfer,no,yes
link layer,provides,error control,yes,yes
link layer,provides,service,yes,yes
link layer,provides,data transfer,yes,yes
transport layer,sends,data to application,yes,no
tcp,requires,network layer,yes,yes
tcp,provides,window service,yes,no
tcp,is_a,reliable protocol,yes,yes
tcp,requires,data segment,yes,yes
tcp,is_a,data transfer protocol,yes,yes
tcp,supports,header information,yes,yes
reliable data transfer protocol,implements,reliable transport,yes,yes
reliable data transfer protocol,implements,congestion control,,yes
tcp,receives,control packet,yes,yes
reliable data transfer protocol,requires,error checks,yes,yes
reliable data transfer protocol,implements,error correction,yes,yes
reliable data transfer protocol,implements,data transfer,yes,yes
reliable data transfer protocol,requires,network layer,yes,yes
reliable data transfer protocol,requires,transport layer,,yes
reliable data transfer protocol,requires,packet header,yes,yes
reliable data transfer protocol,has_part,error control,yes,yes
ip,provides,network layer,no,yes
reliable data transfer protocol,has_part,congestion control,,yes
reliable data transfer protocol,implements,multiple packet checks,yes,yes
reliable data transfer protocol,implements,packet transmission,,yes
packet,contains,protocol field,yes,yes
reliable data transfer protocol,requires,control packet delivery,yes,yes
reliable data transfer protocol,requires,multiple packet delivery,,yes
reliable data transfer protocol,requires,link layer service,,yes
reliable data transfer protocol,has_part,packet header,yes,yes
reliable data transfer protocol,has_part,flow control,,yes
reliable data transfer protocol,requires,packet checks,yes,yes
reliable data transfer protocol,has_part,window protocol,,yes
reliable data transfer protocol,implements,delay avoidance,no,yes
reliable data transfer protocol,implements,multiple checks,yes,yes
packet,has_part,bit,yes,yes
rdt,receives,the data,no,yes
rdt,receives,the packet,yes,yes
rdt,receives,a packet,yes,yes
rdt,sends,a packet,yes,yes
rdt,sends,the packet,yes,yes
packet,has_part,transport layer,no,yes
packet checksum field,part_of,packet header,yes,yes
packet checksum field,part_of,data packet,yes,yes
udp,implements,error checks,yes,yes
udp,implements,data check,yes,no
packet checksum field,part_of,protocol layer,,yes
udp,supports,check field,yes,no
packet checksum field,part_of,error checks,no,yes
nak,is_a,message,yes,yes
ack,is_a,a message,yes,yes
ack,increases,congestion,,yes
udp segment,contains,packet checks,yes,no
udp segment,has_part,port,yes,yes
ack,is_a,a packet,yes,yes
ack,increases,packet,no,yes
ack,increases,sending,no,yes
ack,increases,delay,,yes
ack,is_a,message,yes,yes
sequence number,identifies,packets,yes,yes
sequence number,identifies,packet number,yes,no
sequence number,identifies,message number,yes,yes
sequence number,identifies,segment number,,yes
pipelining,increases,speed,yes,yes
pipelining,increases,rate,yes,yes
pipelining,increases,bandwidth,yes,yes
pipelining,increases,flow,yes,yes
pipelining,increases,buffer,yes,yes
packet loss,increases,the delay,no,yes
packet loss,increases,the congestion,no,yes
selective repeat,receives,packets,yes,yes
packet loss,increases,congestion,no,yes
packet loss,increases,delay,yes,yes
selective repeat,provides,buffer control,yes,yes
packet loss,increases,errors,,yes
selective repeat,provides,packet loss avoidance,no,yes
packet loss,increases,traffic,yes,yes
selective repeat,receives,data packets,yes,yes
selective repeat,receives,packet,,yes
selective repeat,requires,buffer,yes,yes
selective repeat,requires,packet queue,yes,yes
cumulative acknowledgment,is_a,message,yes,yes
cumulative acknowledgment,is_a,packet,no,yes
timer,supports,packet transmission,,yes
timer,supports,data transfer,yes,yes
timer,supports,message broadcast,yes,yes
tcp,has_part,data checks,no,yes
tcp,receives,network packet,yes,yes
tcp,sends,segments,yes,yes
tcp,receives,data segment,yes,yes
tcp,sends,the data,,yes
sequence number,identifies,message,yes,yes
receive window,enables,packet transmission,,yes
gbn,requires,data packet,yes,yes
gbn,requires,window,yes,yes
gbn,requires,header field,yes,yes
gbn,requires,packet length,yes,no
tcp,requires,sequence number,yes,yes
tcp,sends,segment .,yes,yes
tcp,supports,bandwidth calculation,,yes
tcp,sends,"segment , connection",yes,no
tcp,runs_on,the host,yes,yes
tcp,sends,a segment with a header,yes,yes
tcp,receives,client data,yes,yes
tcp,sends,sequence number,yes,yes
tcp,receives,server segment,yes,yes
tcp,implements,window check,yes,yes
tcp,sends,network data,yes,yes
tcp,supports,data,yes,yes
tcp,has_part,control window,yes,yes
tcp,provides,data traffic,yes,yes
tcp,receives,client connection,no,yes
tcp,receives,client segment,yes,yes
tcp,sends,a message,yes,yes
tcp,supports,service,no,yes
transport layer,provides,message transfer,yes,yes
transport layer,implements,message transfer,yes,yes
transport layer,implements,segment,no,yes
transport layer,implements,connection,,yes
transport layer,provides,transport segment,,yes
transport layer,provides,connection,yes,yes
tcp segment,contains,header,yes,yes
tcp segment,contains,data,yes,yes
transport layer,receives,the segment,yes,yes
transport layer,receives,the message,,yes
socket,receives,client request,yes,yes
tcp segment,contains,port,yes,yes
socket,receives,http request,yes,yes
socket,receives,application data,yes,yes
tcp segment,provides,data,no,yes
tcp,has_part,data queue,yes,yes
tcp,has_part,receiver window,,yes
tcp,requires,window,yes,yes
network layer,sends,data on the network,yes,yes
tcp,requires,buffer,yes,yes
tcp,implements,connection buffer,no,yes
network layer,sends,data from the connection,yes,no
tcp,provides,traffic flow,yes,yes
ethernet,provides,data transmission,yes,yes
tcp segment,contains,data field,,yes
ethernet,provides,frame header,yes,yes
telnet,runs_on,tc transport,yes,no
tcp segment,provides,error detection,yes,yes
tcp segment header,has_part,window field,yes,yes
telnet,runs_on,ip protocol,yes,yes
tcp segment header,has_part,control field,yes,yes
tcp segment header,has_part,error checks,,yes
tcp,requires,window control,yes,yes
tcp,implements,sequence field,yes,yes
tcp,has_part,rate calculation,,yes
tcp,provides,data packet,no,yes
tcp,requires,bit field,,yes
tcp,provides,header checks,yes,yes
tcp,sends,segment header,no,yes
tcp,sends,the sequence number,yes,yes
tcp,supports,sequence field,yes,yes
tcp,implements,segment header,no,yes
tcp,provides,packet checks,yes,yes
tcp,supports,sequence number,yes,yes
tcp,receives,the packet,,yes
tcp,requires,header,yes,yes
tcp,sends,segment number,yes,yes
tcp,supports,header field,no,yes
tcp,sends,segment data,yes,yes
tcp,has_part,packet queue,yes,yes
tcp,provides,packet transmission,no,yes
tcp,sends,the segments,yes,yes
telnet,operates_at,application,yes,yes
tcp,sends,a segment and segments,yes,no
tcp,supports,sequence,yes,yes
telnet,operates_at,layer,yes,yes
tcp,supports,data packet,yes,yes
telnet,runs_on,tc ip,yes,yes
telnet,runs_on,tc protocol,yes,no
tcp,supports,buffer,,yes
tcp,implements,connection checks,yes,yes
tcp,supports,sub protocol,no,yes
tcp,sends,segment to the connection,yes,no
tcp,sends,data to the client,no,yes
sequence number,identifies,segment,yes,yes
segment,contains,data field,yes,yes
telnet,runs_on,protocol,no,yes
telnet,operates_at,application service,,yes
segment,contains,sequence number field,yes,yes
segment,has_part,sequence number field,yes,yes
segment,contains,source address,yes,no
segment,contains,data,yes,yes
segment,contains,message,yes,yes
tcp,provides,error correction,no,yes
tcp,provides,packet header,,yes
tcp,requires,sequence number field,yes,yes
tcp,receives,bytes,,yes
tcp,requires,bytes buffer,,yes
tcp,receives,segment bytes,,yes
tcp,requires,congestion window,yes,yes
tcp,supports,packet buffer,yes,yes
tcp,sends,segment and data,yes,yes
timer,supports,data transmission,yes,yes
tcp,supports,sequence number field,,yes
timer,supports,segment transmission,yes,yes
ip,provides,packet transmission,yes,yes
tcp,supports,window,yes,yes
tcp,supports,timer,yes,yes
congestion,increases,loss,yes,yes
tcp,supports,segment transmission,yes,yes
congestion,causes,queue,no,yes
